lang_name,no_table_data_text,sort_label_text,filter_label_text,search_placeholder_text,page_next_text,page_previous_text,page_numbers_text,page_info_text,page_size_options_text,page_next_label_text,page_previous_label_text,page_number_label_text,page_jump_label_text,page_size_options_label_text
af,Tabel bevat geen data,Sorteer {name},Filtreer {name},Soek,Volgende,Vorige,{page} van {pages},{rowStart}\u2013{rowEnd} van {rows} rye,Wys {rows},Volgende bladsy,Vorige bladsy,Bladsy {page},Gaan na bladsy,Rye per bladsy
agq,Taa yi nji nchuu mbi,Ndob {name} wondi,Nkɔŋ {name},Nyɛ,Ləkəma,Nkɔndɔ,{page} kika {pages},{rowStart}\u2013{rowEnd} na {rows} mbe,Seh {rows},Ghɨmsɨ baa,Pɛɛji nshu,Nyaa {page},Ka bo'o nyen bɔɔl,Wòndò àmà tàŋà
ak,Table nya data,Hwɛ {name} so,Sesa {name},Hwehwɛ,Foforo,Fɛw,{page} wɔ {pages},{rows} bosome {rowStart}\u2013{rowEnd},Kyerɛ {rows},Nea ɔkyerɛw,Kɔ sra,Krataafa {page},Kɔ yɛ nɔ lɛ,Mmɔbɔ kɔ fa
am,ታቦት ምንም መረጃ የሉም,ስትርብ {name},ፋይልታችን {name},ፈልግ,ቀጥል,የተመለስ,{page} ከ {pages},{rowStart}\u2013{rowEnd} እስከ {rows} መደበኛ ቀን,{rows} አርትዕ አሳይ,ቀጣይ ገጽ,የተመለሰ ገጾች,ገፅ {page},ወደ ገጽ ይሂድ,ሥርዓተ መለያዎች በግል መታወቂያ
ar,الجدول لا يحتوي على بيانات,فز {name},تصفية {name},بحث,التالي,السابق,{page} من {pages},{rowStart}\u2013{rowEnd} من {rows} صفوف,إظهار {rows},الصفحة التالية,الصفحة السابقة,الصفحة {page},الانتقال إلى الصفحة,الصفوف في الصفحة الواحدة
as,টেবিলত কোনো তথ্য নাই,{name} সৰ্ট কৰক,{name} ফিল্টাৰ কৰক,অনুসন্ধান,পৰৱৰ্তী,পূৰ্বৱৰ্তী,{page} এৰে {pages}-ৰ,{rowStart}\u2013{rowEnd} পৰা {rows} শাৰীসমূহ,{rows} দেখুৱাওক,পৰৱৰ্তী পৃষ্ঠা,পূৰ্বৱৰ্তী পৃষ্ঠা,পৃষ্ঠা {page},পৃষ্ঠাত যাওক,প্ৰতি পৃষ্ঠাত শাৰীসমূহ
asa,Jedwali halina data,Panga {name},Lɛn {name},Tɛnɛɛ,Ifuatayo,Kabla,{page} ya {pages},{rowStart}\u2013{rowEnd} ya {rows} safu,Kuonyesha {rows},Kurasa ifuatayo,Kurasa kabla,Ukurasa {page},Nenda kwenye ukurasa,Ngwà nà ma'á
ast,La tabla nun tien datos,Clasificar {name},Filtrar {name},Guetar,Próximu,Anterior,{page} de {pages},{rowStart}\u2013{rowEnd} de {rows} files,Amosar {rows},Páxina siguiente,Páxina anterior,Páxina {page},Dirixir a la páxina,Files per páxina
az,Cədvəldə məlumat yoxdur,{name}i sırala,{name} süz,Axtarış,Növbəti,Əvvəlki,Səhifə {page} / {pages},{rows} sətirdən {rowStart}\u2013{rowEnd},{rows} göstər,Növbəti səhifə,Əvvəlki səhifə,Səhifə {page},Səhifəyə get,Sətirlər səhifəyə görə
bas,Nyini na seŋa,Jang {name},Fèyè {name},Kut,Wuli,Suuf,{page} na {pages},{rows} taa {rowStart}\u2013{rowEnd} yɛ́ɛ̀,Wuɛ {rows},Jokkiri wuli,Kurasa kə nəngə,Pɛɛji {page},Hãy về trang,Ngàlí sa mà náa
